,hash,obj
1892,continent,AN
1893,boolean,False
1894,city,East Kristin
1895,%Y-%m-%d,2002-10-28
1896,%m-%d-%Y,05-20-1999
1897,%m/%d/%y %H:%M:%S %p,06/09/80 13:36:24 AM
1898,%d/%m/%Y %H:%M:%S,10/04/1976 14:30:11
1899,boolean,False
1900,%m,09
1901,%m/%d/%y %H:%M:%S %p,04/06/95 07:06:14 AM
1902,country_code,BR
1903,%a,tues
1904,%d/%m/%Y:%d/%m/%Y,21/06/1983:03/10/1989
1905,%Y:%Y,2021:1977
1906,%m.%d.%Y,10.16.2013
1907,%d/%m/%Y %H:%M:%S,01/05/1988 18:17:52
1908,percent,0.003
1909,%m_%d_%Y,04_14_1970
1910,%Y.%m,1975.01
1911,%m.%d.%y,11.11.20
1912,longitude,7.091193
1913,email,jose28@example.org
1914,%Y-%Y,1970 - 1981
1915,%m/%d/%y,07/25/13
1916,%d %B %Y,29 May 1971
1917,percent,0.051
1918,country_code,TR
1919,%m_%d_%Y,07_01_2021
1920,%Y/%m/%d %H:%M:%S,2003/02/14 22:12:24
1921,%Y.%m.%d,2003.07.26
1922,%Y.%m.%d,1983.08.04
1923,%d-%m-%Y,22-09-1999
1924,"%A, %B %d, %y","Sunday, January 06, 1986"
1925,%d_%m_%Y,14_03_1992
1926,phone_number,798-784-9050x49442
1927,%d_%m_%y,10_08_10
1928,%d.%m.%Y %H:%M:%S,06.09.1992 09:44:52
1929,%Y/%m/%d %H:%M:%S,1993/10/14 03:25:47
1930,%Y_%m_%d,1973_04_28
1931,boolean,True
1932,%m_%d_%Y,08_26_2018
1933,%Y,1984
1934,%Y:%Y,1970:2014
1935,%d %B %Y,25 September 1997
1936,%Y_%m_%d %H:%M:%S,1971_02_19 19:39:55
1937,first_name,Samantha
1938,%Y_%m_%d,2005_10_27
1939,%d %B %y,19 September 19
1940,%d_%m_%y,27_12_85
1941,"%B %d, %Y - %B %d, %Y","June 16, 1977 - February 10, 2015"
1942,%d/%m/%Y %H:%M:%S,29/06/2008 20:18:20
1943,country_GID,DOM
1944,"%A, %B %d, %Y HH:mm:ss","Monday, November 11, 1994, 05:53:55"
1945,%d %B %Y,08 August 1994
1946,%m.%d.%y,05.12.13
1947,%a,thur
1948,%Y-%m-%d,2019-11-07
1949,%B,May
1950,%m.%d.%Y,11.24.1973
1951,%m-%d-%Y,11-28-2013
1952,"%a, %d %b %Y","Thu, 12 Jul 1973"
1953,"%A, %B %d, %Y HH:mm:ss","Saturday, September 23, 1979, 08:07:47"
1954,%m/%d/%y,04/01/08
1955,%m_%d_%Y,05_25_2011
1956,boolean,False
1957,continent,South America
1958,%m.%d.%y,09.10.94
1959,boolean,True
1960,"%A, %B %d, %Y HH:mm:ss","Tuesday, October 09, 1994, 13:43:22"
1961,pystr,tdEsYuAnQybObpYhcFLM
1962,%m/%d/%y,11/22/93
1963,%d,19
1964,%m-%d-%Y %H:%M:%S,02-20-2019 16:01:13
1965,pyfloat,438.336121331693
1966,%d_%m_%Y %H:%M:%S,27_09_1980 11:19:15
1967,latlong,"-88.2264385, 9.779450"
1968,latitude,-46.072270
1969,"%A, %B %d, %Y HH:mm:ss","Sunday, December 06, 1995, 22:49:24"
1970,%m-%d-%Y %H:%M:%S,08-16-1994 07:16:01
1971,ssn,706-22-9407
1972,city_suffix,mouth
1973,country_name,Bahamas
1974,%m-%d-%y,03-10-01
1975,language_name,Sanskrit
1976,%d/%m/%Y %H:%M:%S,06/07/1987 03:19:34
1977,%d.%m.%Y,31.12.2007
1978,boolean,False
1979,%m-%d-%Y,06-04-1986
1980,%d/%m/%Y:%d/%m/%Y,25/01/1976 : 18/10/1984
1981,%m/%d/%y %H:%M:%S %p,07/27/77 03:34:44 PM
1982,%d %B %y,07 October 20
1983,country_code,KN
1984,%Y-%m,1979-07
1985,%m-%d-%y,05-29-94
1986,%m/%d/%y %H:%M:%S %p,02/09/95 21:01:53 PM
1987,%m_%d_%Y,07_31_2008
1988,%Y-%Y,1982-2009
1989,%m_%d_%y,05_26_05
1990,city,East Kimberlybury
1991,%Y,2021
1992,%b,oct
1993,language_name,Kannada
1994,%d.%m.%y,13.12.11
1995,%d-%m-%y,09-12-09
1996,boolean,True
1997,%d_%m_%Y %H:%M:%S,20_04_1973 18:20:54
1998,%d/%m/%Y,20/06/2007
1999,country_GID,BFA
2000,%d/%m/%Y:%d/%m/%Y,13/04/1978:21/05/2017
2001,%d_%m_%y,26_10_99
2002,%m/%d/%y %H:%M:%S %p,12/17/16 23:28:49 AM
2003,%m_%d_%Y,10_05_2004
2004,"%A, %B %d, %y","Wednesday, July 14, 2022"
2005,boolean,False
2006,%m-%d-%Y,03-27-1982
2007,%d/%m/%y,08/09/07
2008,%m.%d.%Y %H:%M:%S,12.04.1993 00:19:52
2009,%m-%d-%Y %H:%M:%S,06-21-1976 10:11:09
2010,%d.%m.%Y %H:%M:%S,01.08.1970 19:36:46
2011,%Y%m%d,19750510
2012,%Y.%m.%d %H:%M:%S,1971.08.26 10:49:16
2013,%d/%m/%Y,15/05/1988
2014,%Y%m%d,19740603
2015,%Y/%m/%d %H:%M:%S,2009/08/29 14:16:40
2016,%m_%d_%Y %H:%M:%S,07_01_1988 18:08:00
2017,"%A, %B %d, %Y HH:mm:ss","Saturday, October 14, 1992, 06:36:41"
2018,%Y-%m-%d,1977-09-26
2019,%Y,1983
2020,%Y_%m_%d %H:%M:%S,1974_08_07 15:26:36
2021,%Y.%m.%d,1988.03.10
2022,%Y_%m,1986_05
2023,%Y-%m-%dT%H%M%S,1999-08-01T14:29:36
2024,%d.%m.%y,09.03.87
2025,%b,jul
2026,%Y,2019
2027,country_GID,PRT
2028,email,kristine63@example.net
2029,country_name,Antarctica (the territory South of 60 deg S)
2030,%d_%m_%Y %H:%M:%S,18_07_2016 01:09:53
2031,%Y-%Y,1988-1986
2032,unix_time,238919561
2033,language_name,Sardinian
2034,"%A, %B %d, %y","Tuesday, February 17, 2011"
2035,%Y/%m/%d,2018/06/03
2036,%B,August
2037,%m-%d-%Y %H:%M:%S,05-13-2022 20:15:23
2038,country_code,ML
2039,%Y%m%d,19830104
2040,%m.%d.%y,10.02.14
2041,%m-%d-%Y,02-28-1972
2042,%Y-%m-%d,1994-10-07
2043,%m_%d_%Y %H:%M:%S,08_13_2003 19:09:11
2044,first_name,Kristina
2045,%d-%m-%Y %H:%M:%S,31-03-1975 21:13:22
2046,%Y.%m,2021.03
2047,%b,oct
2048,zipcode,25880
2049,prefix,Mrs.
2050,%Y/%m,1983/09
2051,longitude,101.811155
2052,city,New Janefurt
2053,%d %B %Y,19 September 1984
2054,country_GID,SRB
2055,%d.%m.%Y %H:%M:%S,29.03.1970 08:17:01
2056,%m.%d.%Y,12.11.1976
2057,%d.%m.%Y %H:%M:%S,23.03.1988 21:11:38
2058,prefix,Miss
2059,%m_%d_%Y,05_14_2016
2060,prefix,Dr.
2061,ssn,269-18-8896
2062,%A,Tuesday
2063,%Y_%m,1971_06
2064,%Y.%m,2013.01
2065,%m_%d_%Y,01_07_1989
2066,%d-%m-%Y:%d-%m-%Y,07-04-2009 : 04-06-1983
2067,%m/%d/%y,10/28/85
2068,continent,SA
2069,boolean,True
2070,%Y.%m.%d %H:%M:%S,1997.05.08 13:29:12
2071,prefix,Miss
2072,%m/%d/%Y %H:%M:%S,01/17/1981 18:41:58
2073,zipcode,63516
2074,%b,oct
2075,%d-%m-%Y %H:%M:%S,06-04-2010 15:57:35
2076,%Y.%m.%d,2020.08.03
2077,%m,07
2078,%m.%d.%Y %H:%M:%S,04.10.1989 16:28:10
2079,first_name,Danielle
2080,prefix,Mx.
2081,%A,Tuesday
2082,longitude,-106.530743
2083,phone_number,479.084.9674x01328
2084,paragraph,Purpose look dark management shoulder say without here. Personal box house other factor film television. Born statement bag also any.
2085,%m,09
2086,latlong,"-48.987535, 97.771661"
2087,%m-%d-%y,02-06-83
2088,%Y:%Y,1995:1995
2089,boolean,True
2090,%d-%m-%Y %H:%M:%S,21-06-2015 05:35:07
2091,%m-%d-%Y,05-24-1985
2092,%m_%d_%y,09_25_95
2093,%Y_%m_%d,1995_01_23
2094,%d/%m/%Y,07/11/1986
2095,prefix,Misc.
2096,language_name,Rundi
2097,continent,Oceania
2098,%B,June
2099,%m/%d/%Y,04/22/2016
2100,"%B %d, %Y - %B %d, %Y","November 23, 1993-February 25, 2016"
2101,country_GID,DZA
2102,%Y_%m_%d %H:%M:%S,2018_05_28 14:22:40
2103,%m/%d/%Y,07/15/1976
2104,%Y-%Y,1981-2005
2105,%Y-%m,1972-07
2106,country_code,OM
2107,%m.%d.%y,02.16.84
2108,%d/%m/%Y %H:%M:%S,23/03/1991 16:34:59
2109,%d/%m/%y,30/05/84
2110,boolean,True
2111,latlong,"32.1547095, 66.563342"
2112,%Y_%m_%d,1982_10_07
2113,%m.%d.%Y,04.30.1997
2114,%d/%m/%Y %H:%M:%S,05/03/1981 11:49:02
2115,%d_%m_%Y,01_11_1972
2116,%b,may
2117,%Y:%Y,1986 : 1973
2118,latlong,"-8.759, -61.339"
2119,%m/%d/%Y,06/13/2013
2120,%Y-%m-%d,2001-11-04
2121,continent,AS
2122,%Y_%m_%d,2010_12_01
2123,latlong,"-36.5297195, -139.235772"
2124,%m/%d/%y,10/30/14
2125,%Y,2000
2126,%m_%d_%y,04_27_98
2127,%m_%d_%y,09_20_71
2128,%Y_%m_%d %H:%M:%S,1991_10_07 18:58:34
2129,boolean,False
2130,"%B %d, %Y - %B %d, %Y","September 03, 2004 - November 04, 1978"
2131,%d-%m-%Y %H:%M:%S,12-12-2008 12:08:38
2132,%d-%m-%Y:%d-%m-%Y,15-01-2018:14-02-1996
2133,%d,29
2134,latitude,-81.424973
2135,"%A, %B %d, %y","Friday, May 16, 1993"
2136,country_name,Myanmar
2137,%d.%m.%y,15.09.85
2138,%Y%m%d,20020717
2139,ssn,546-67-0597
2140,%Y.%m.%d,1974.01.02
2141,%Y.%m,2012.05
2142,%m,02
2143,%m.%d.%Y,05.05.1990
2144,boolean,True
2145,%d-%m-%y,08-01-77
2146,%m/%d/%Y,07/25/1975
2147,%Y-%Y,1974 - 2021
2148,%Y%d,198729
2149,%d/%m/%Y,22/10/1982
2150,%m.%d.%y,03.25.02
2151,percent,0.003
2152,%b,jun
2153,%d_%m_%Y,04_05_2011
2154,%m_%d_%y,05_15_06
2155,%m-%d-%Y %H:%M:%S,07-21-1998 15:49:29
2156,%Y-%Y,2004-2004
2157,%m/%d/%Y,10/25/1979
2158,city,East Rachelton
2159,%b,aug
2160,%A,Monday
2161,%Y-%m-%d %H:%M:%S,2018-10-30 18:09:39
2162,%d.%m.%Y %H:%M:%S,13.03.1982 02:00:45
2163,%a,mon
2164,%d_%m_%y,14_05_08
2165,%Y_%m,1978_12
2166,%m_%d_%Y,04_25_1977
2167,%Y_%m_%d %H:%M:%S,1973_06_09 15:32:56
2168,%d-%m-%Y %H:%M:%S,27-04-2017 03:30:23
2169,longitude,-29.748966
2170,%Y%m%d,19951230
2171,%d_%m_%y,29_11_05
2172,latitude,-45.1128375
2173,%m-%d-%y,12-18-70
2174,"%B %d, %Y - %B %d, %Y","October 12, 2009-February 13, 1993"
2175,%d_%m_%y,18_06_00
2176,pyfloat,267144813768.386
2177,%d.%m.%Y,11.03.2001
2178,%d_%m_%Y %H:%M:%S,15_09_2003 09:43:31
2179,city_suffix,bury
2180,%m-%d-%Y %H:%M:%S,08-01-2003 11:13:37
2181,pyfloat,56390.5736086244
2182,%d_%m_%y,22_10_10
2183,%m.%d.%y,12.06.90
2184,boolean,False
2185,%m_%d_%y,05_06_10
2186,"%B %d, %Y","July 08, 1982"
2187,%B,January
2188,%Y-%m,1978-11
2189,%A,Sunday
2190,country_code,NO
2191,%d %B %y,23 April 19
2192,%d_%m_%Y %H:%M:%S,26_02_1977 03:39:11
2193,%Y-%m,2021-04
2194,%d %B %y,08 May 20
2195,%b,apr
2196,latlong,"-6.09340, -25.4167"
2197,%Y-%Y,1973 - 1994
2198,first_name,Alexander
2199,%d-%m-%Y %H:%M:%S,02-07-1973 05:53:31
2200,ssn,368-72-4483
2201,%d-%m-%y,28-11-89
2202,%Y-%m-%d %H:%M:%S,1998-09-06 05:19:48
2203,%m/%d/%y,04/01/18
2204,unix_time,103344918
2205,%d.%m.%Y,01.05.1985
2206,country_name,Lebanon
2207,%d-%m-%Y,11-11-2011
2208,paragraph,Prepare sing brother probably bring. Law girl production around consider office. Statement soon including institution yes true worry subject. American it wind old sing choose.
2209,unix_time,651369291
2210,phone_number,(173)619-9755x0987
2211,%d/%m/%y,22/04/79
2212,longitude,-179.751451
2213,%m/%d/%Y %H:%M:%S,08/02/1993 02:19:16
2214,longitude,63.008725
2215,continent,Asia
2216,boolean,False
2217,%Y_%m_%d,1987_08_10
2218,%d/%m/%y,12/08/78
2219,%m,09
2220,%m/%d/%Y %H:%M:%S,11/04/2018 06:27:13
2221,%m-%d-%y,05-14-04
2222,percent,0.0081
2223,latitude,-28.8293645
2224,longitude,-99.252729
2225,%d/%m/%Y %H:%M:%S,11/12/1980 07:25:26
2226,%Y/%m/%d,2003/12/15
2227,%d-%m-%Y %H:%M:%S,02-11-1981 05:05:37
2228,%d_%m_%y,01_12_70
2229,city,Norrischester
2230,%m/%d/%y,03/01/05
2231,%m-%d-%Y %H:%M:%S,06-23-2001 13:20:32
2232,%d/%m/%Y,18/05/1972
2233,%d/%m/%y,01/11/94
2234,"%A, %B %d, %Y HH:mm:ss","Wednesday, April 15, 2000, 05:55:25"
2235,%d,18
2236,%b,jun
2237,%Y.%m.%d,1991.08.27
2238,country_code,LA
2239,%d-%m-%Y:%d-%m-%Y,29-04-2007 : 27-06-1997
2240,%Y.%m.%d,2015.08.01
2241,%m/%d/%Y,11/22/2004
2242,%Y%d,201720
2243,%d.%m.%Y,21.12.2019
2244,latlong,"11.124426, 111.374326"
2245,%m-%d-%Y,04-07-2018
2246,%Y:%Y,2007 : 1983
2247,%Y.%m.%d %H:%M:%S,2021.10.18 10:53:31
2248,%d_%m_%Y %H:%M:%S,01_02_1998 15:59:26
2249,%d/%m/%Y:%d/%m/%Y,13/03/1980 : 28/03/1973
2250,%Y_%m_%d,1978_03_13
2251,%d.%m.%Y %H:%M:%S,24.09.2016 23:27:31
2252,%A,Tuesday
2253,%d-%m-%Y:%d-%m-%Y,30-12-2004 : 14-05-1996
2254,%d.%m.%y,06.12.20
2255,%Y-%m-%dT%H%M%S,1986-10-07T16:47:30
2256,%a,fri
2257,country_code,BI
2258,%Y%m%d,19991203
2259,%d_%m_%y,15_04_86
2260,%Y_%m_%d,2021_02_18
2261,zipcode,20690
2262,%d/%m/%Y,13/12/2010
2263,%m.%d.%Y %H:%M:%S,07.01.2022 01:43:40
2264,%d/%m/%Y %H:%M:%S,03/07/2014 07:42:46
2265,language_name,Thai
2266,%m/%d/%Y,11/04/2010
2267,percent,0.031
2268,%Y.%m.%d,1979.09.06
2269,%d.%m.%Y,02.10.2018
2270,%m/%d/%y,03/06/97
2271,latitude,49.5801835
2272,zipcode,01197
2273,%Y_%m,1999_07
2274,%m/%d/%y,06/05/89
2275,phone_number,767.926.5169x1512
2276,%m/%d/%y,02/06/94
2277,%Y/%m/%d,1984/09/21
2278,%m.%d.%y,03.02.07
2279,%Y%d,197717
2280,"%B %d, %Y","December 15, 2005"
2281,%m_%d_%Y %H:%M:%S,12_12_1987 18:22:37
2282,%m-%d-%y,03-28-20
2283,%d/%m/%y,03/07/09
2284,latitude,-11.9562565
2285,unix_time,217914383
2286,city_suffix,ton
2287,email,martindylan@example.com
2288,%d-%m-%Y,06-04-1975
2289,%d_%m_%Y %H:%M:%S,04_10_2020 06:36:26
2290,%d %B %y,04 April 19
2291,%d-%m-%y,17-05-92
2292,%m_%d_%y,05_14_86
2293,%m_%d_%Y,10_08_1991
2294,%d-%m-%Y:%d-%m-%Y,29-08-2010 : 09-02-1996
2295,"%a, %d %b %Y","Tue, 25 Sep 1973"
2296,%Y%m%d,20040418
2297,%d %B %Y,28 November 2015
2298,country_GID,GLP
2299,%m-%d-%Y %H:%M:%S,07-17-2017 05:28:00
2300,%d %B %y,20 February 20
2301,%m.%d.%Y %H:%M:%S,05.22.2008 19:59:16
2302,"%a, %d %b %Y","Sat, 25 Oct 2008"
2303,%Y-%m,2021-08
2304,%Y_%m,2016_01
2305,%d-%m-%Y,22-08-1971
2306,%d/%m/%Y,08/03/2009
2307,pyfloat,7.23853209137297
2308,%m.%d.%Y,07.17.2021
2309,%Y.%m,2008.11
2310,"%A, %B %d, %Y HH:mm:ss","Thursday, March 21, 2019, 13:29:54"
2311,%m_%d_%Y,09_07_1971
2312,%Y,1989
2313,%Y.%m.%d,2007.10.24
2314,%d %B %Y,03 March 1995
2315,pystr,vCAoSjRKqNsMplrVhptM
2316,%d-%m-%Y,10-04-2014
2317,country_code,TR
2318,%d.%m.%Y,01.02.1977
2319,%d.%m.%Y %H:%M:%S,08.09.1997 08:37:36
2320,percent,0.091
2321,%m/%d/%y %H:%M:%S %p,02/25/05 10:46:44 AM
2322,%d_%m_%y,19_09_06
2323,%A,Saturday
2324,paragraph,Decide method federal quite investment realize success. Notice research agreement draw yes. Entire customer fund raise. Sing piece education along night western.
2325,%d,31
2326,%d/%m/%Y %H:%M:%S,01/08/2000 14:06:09
2327,%m/%d/%y,12/10/01
2328,%Y/%m/%d,2011/10/18
2329,%m_%d_%Y %H:%M:%S,09_20_1993 17:16:56
2330,%d %B %y,08 September 19
2331,%Y-%m-%d %H:%M:%S,1980-07-20 14:50:06
2332,pystr,UXUItLuEMJyNeJpKcIsw
2333,%d_%m_%y,07_08_20
2334,%Y.%m.%d,1980.02.12
2335,%d/%m/%Y,23/06/2021
2336,%m.%d.%Y,04.09.1991
2337,%d-%m-%Y %H:%M:%S,11-08-1992 08:49:20
2338,%Y,1979
2339,%d/%m/%Y-%d/%m/%Y,06/02/1971 - 10/09/2013
2340,zipcode,31027
2341,%Y/%m,2009/09
2342,%m-%d-%Y %H:%M:%S,01-17-2022 09:21:58
2343,%d-%m-%Y,03-06-1999
2344,first_name,William
2345,%d-%m-%Y:%d-%m-%Y,14-11-1999 : 27-07-2003
2346,%B,July
2347,"%A, %B %d, %Y HH:mm:ss","Monday, October 16, 2021, 11:12:01"
2348,%d.%m.%y,24.06.95
2349,%m,06
2350,%d,08
2351,country_GID,SXM
2352,prefix,Mr.
2353,%a,wed
2354,%m_%d_%Y %H:%M:%S,10_21_1999 19:53:55
2355,%d-%m-%Y:%d-%m-%Y,13-06-2008 : 13-03-2018
2356,boolean_letter,t
2357,%d.%m.%Y,06.02.1994
2358,%m_%d_%Y %H:%M:%S,07_28_1970 18:48:36
2359,language_name,Georgian
2360,%m.%d.%Y %H:%M:%S,02.19.2020 02:35:45
2361,%d-%m-%Y,12-09-2018
2362,%m-%d-%Y %H:%M:%S,11-10-1993 22:42:04
2363,%B,March
2364,%B,February
2365,%d-%m-%y,25-12-92
2366,%Y%m%d,20060217
2367,%m_%d_%Y,11_20_1995
2368,prefix,Ms.
2369,longitude,-76.305867
2370,unix_time,866421478
2371,ssn,682-30-0893
2372,%Y,1975
2373,%d_%m_%Y,11_08_1983
2374,%d-%m-%Y %H:%M:%S,07-12-1996 08:40:00
2375,%Y-%m-%d %H:%M:%S,2019-03-08 06:38:19
2376,first_name,Patrick
2377,%m_%d_%Y %H:%M:%S,05_21_1990 19:14:19
2378,"%a, %d %b %Y","Thu, 05 Jan 2012"
2379,continent,SA
2380,email,melissa65@example.net
2381,%Y-%m-%dT%H%M%S,1975-09-07T11:04:38
2382,%d_%m_%Y,05_08_1974
2383,country_name,Philippines
2384,%Y%d,199805
2385,%d_%m_%Y,03_12_2013
2386,%d.%m.%Y %H:%M:%S,18.09.2013 13:44:33
2387,%m-%d-%Y,11-12-1993
2388,%Y/%m,2016/01
2389,%m/%d/%y,12/29/80
2390,%m_%d_%Y,06_18_1978
2391,%m.%d.%Y,12.26.1975
2392,%m_%d_%y,12_17_03
2393,%Y/%m/%d,1970/11/23
2394,%m/%d/%y,09/16/03
2395,%A,Tuesday
2396,latitude,34.884902
2397,%Y-%m,1970-08
2398,%Y_%m_%d,2001_08_01
2399,%a,fri
2400,%d,17
2401,pyfloat,-369896028.569275
2402,%d %B %Y,03 October 1982
2403,%d_%m_%Y %H:%M:%S,27_09_2004 21:58:38
2404,%m.%d.%Y %H:%M:%S,05.11.2006 03:38:47
2405,%A,Tuesday
2406,%a,mon
2407,%Y%m%d,19870829
2408,"%A, %B %d, %Y HH:mm:ss","Monday, June 12, 1990, 10:21:29"
2409,%Y-%m-%dT%H%M%S,2004-10-09T04:35:14
2410,%Y-%m-%dT%H%M%S,2017-04-13T07:17:54
2411,%Y.%m.%d %H:%M:%S,1987.03.22 23:48:27
2412,continent,EU
2413,%Y.%m,2005.08
2414,paragraph,Get citizen figure. Lose husband impact special employee life natural.
2415,country_name,American Samoa
2416,%d_%m_%Y,08_11_1993
2417,%Y_%m_%d,2022_07_14
2418,"%A, %B %d, %y","Thursday, June 05, 2020"
2419,%d/%m/%y,03/03/22
2420,%m.%d.%Y %H:%M:%S,12.07.2002 06:50:31
2421,%m,10
2422,%m-%d-%y,12-30-83
2423,country_GID,STP
2424,%d.%m.%Y %H:%M:%S,12.10.2021 00:35:07
2425,boolean_letter,f
2426,%m-%d-%y,12-18-16
2427,%d-%m-%Y:%d-%m-%Y,27-01-1979:06-01-1979
2428,%Y.%m.%d,2013.08.27
2429,latlong,"-28.152, -47.251"
2430,%Y_%m_%d %H:%M:%S,1998_07_02 07:51:58
2431,%d/%m/%Y,06/04/2008
2432,%m-%d-%y,07-15-94
2433,%d/%m/%Y,05/04/2010
2434,%m/%d/%Y,07/31/1984
2435,%Y.%m.%d %H:%M:%S,2003.08.11 11:00:48
2436,%Y-%Y,2021-2006
2437,%d,16
2438,%d_%m_%y,02_10_74
2439,country_code,IN
2440,%m,05
2441,ssn,626-28-2299
2442,%d/%m/%y,25/08/08
2443,%Y:%Y,2005 : 1993
2444,%m.%d.%Y,12.15.1996
2445,%d.%m.%y,16.09.72
2446,"%a, %d %b %Y","Tue, 26 Jul 1994"
2447,%Y,1989
2448,language_name,Swahili
2449,%A,Wednesday
2450,%Y:%Y,1974:2003
2451,city_suffix,burgh
2452,%Y/%m/%d %H:%M:%S,2000/03/08 13:00:10
2453,city,South Charles
2454,%Y/%m,1999/03
2455,prefix,Ind.
2456,%d-%m-%Y:%d-%m-%Y,17-06-1979:26-07-1973
2457,longitude,101.414058
2458,boolean_letter,T
2459,"%B %d, %Y - %B %d, %Y","December 04, 1988-January 05, 2003"
2460,continent,South America
2461,%m.%d.%Y,09.29.2018
2462,pyfloat,759798468455.46
2463,%m.%d.%Y,10.16.2016
2464,%Y%m%d,19840513
2465,%d/%m/%y,13/04/90
2466,%d-%m-%y,11-12-14
2467,prefix,Dr.
2468,%d %B %y,14 August 20
2469,"%a, %d %b %Y","Fri, 04 Dec 1992"
2470,%m-%d-%y,08-04-78
2471,%m.%d.%Y %H:%M:%S,04.01.2015 14:32:40
2472,%d_%m_%y,16_03_96
2473,%d-%m-%Y %H:%M:%S,19-01-2007 07:07:05
2474,%m/%d/%Y %H:%M:%S,02/10/2012 19:53:51
2475,%A,Tuesday
2476,%m_%d_%Y %H:%M:%S,03_13_1987 02:07:20
2477,latitude,-56.2165445
2478,%Y.%m,2010.07
2479,%m-%d-%y,01-23-10
2480,%m/%d/%y,07/27/90
2481,"%A, %B %d, %y","Friday, March 01, 1994"
2482,"%a, %d %b %Y","Mon, 17 Jun 1974"
2483,%Y-%m-%dT%H%M%S,2017-07-06T19:30:15
2484,%d %B %y,18 December 20
2485,%Y-%Y,2004 - 1973
2486,%m/%d/%Y %H:%M:%S,12/27/1977 03:20:56
2487,email,qmartin@example.org
2488,%Y.%m,1995.06
2489,boolean,True
2490,%Y/%m/%d,1995/12/17
2491,%m.%d.%Y,09.03.2022
2492,country_name,Singapore
2493,%B,July
2494,"%a, %d %b %Y","Thu, 27 Jun 1985"
2495,language_name,Ewe
2496,country_GID,VEN
2497,%m/%d/%y %H:%M:%S %p,04/29/78 12:56:50 AM
2498,%Y.%m.%d,1996.02.18
2499,%d/%m/%Y,21/11/1997
2500,%m.%d.%y,01.27.19
2501,country_GID,JPN
2502,country_GID,NIU
2503,%d-%m-%Y %H:%M:%S,09-03-1979 22:58:14
2504,%Y/%m/%d,1987/04/10
2505,longitude,-67.105513
2506,boolean,False
2507,%a,sat
2508,%Y%d,202009
2509,"%B %d, %Y","July 16, 2005"
2510,"%A, %B %d, %y","Tuesday, June 01, 2011"
2511,%Y/%m,2015/04
2512,%d/%m/%Y-%d/%m/%Y,30/01/2003 - 28/10/1970
2513,%m.%d.%y,06.05.88
2514,%Y-%m-%d,1988-04-05
2515,%Y-%m,2010-08
2516,%Y%d,199709
2517,language_name,Thai
2518,%a,sat
2519,country_name,Korea
2520,%d-%m-%Y,21-03-2012
2521,%m-%d-%Y,06-29-1981
2522,"%a, %d %b %Y","Wed, 11 Nov 1987"
2523,latlong,"-31.8560045, 28.406360"
2524,%m-%d-%y,08-02-93
2525,%Y%d,198529
2526,%B,September
2527,%d.%m.%Y,18.09.1985
2528,%m-%d-%Y,03-01-1973
2529,%Y-%m-%d %H:%M:%S,2018-09-22 08:37:51
2530,%d/%m/%Y-%d/%m/%Y,06/06/1974 - 01/11/1975
2531,%B,June
2532,latlong,"2.86368, 26.3136"
2533,%a,sat
2534,ssn,833-37-1044
2535,%Y:%Y,2009 : 1981
2536,latlong,"72.3344, 38.4613"
2537,%d.%m.%Y %H:%M:%S,21.12.1972 07:41:31
2538,"%A, %B %d, %y","Monday, October 14, 1971"
2539,pystr,kPbWAhMFVhaGzveWUKgA
2540,%Y-%Y,2018 - 2000
2541,%Y.%m,1977.05
2542,%d/%m/%Y %H:%M:%S,18/03/1976 12:59:42
2543,%m-%d-%Y,01-14-1970
2544,pyfloat,646173373662.2
2545,%m/%d/%Y,09/14/1985
2546,%d.%m.%Y %H:%M:%S,22.01.2022 13:13:34
2547,zipcode,11834
2548,%Y/%m/%d,2013/01/17
2549,%Y:%Y,2012 : 1971
2550,%d-%m-%Y:%d-%m-%Y,16-06-2011 : 27-05-2016
2551,%d/%m/%Y:%d/%m/%Y,11/07/2006 : 13/08/1984
2552,%m.%d.%Y %H:%M:%S,04.05.1973 15:22:53
2553,%d.%m.%y,01.07.10
2554,longitude,155.028254
2555,%d %B %Y,05 September 2017
2556,percent,0.004
2557,%m/%d/%y,04/03/74
2558,zipcode,85366
2559,%Y-%m-%d %H:%M:%S,1978-01-12 15:55:49
2560,country_name,Samoa
2561,%Y_%m_%d %H:%M:%S,2004_03_27 02:51:56
2562,%d,09
2563,pystr,zzAzYgBJPZlLsIzSmygB
2564,latlong,"9.7630195, 162.589022"
2565,%d-%m-%Y:%d-%m-%Y,01-06-2011:17-12-1970
2566,"%B %d, %Y","August 04, 2017"
2567,unix_time,513727412
2568,latitude,34.040994
2569,boolean,False
2570,%m/%d/%Y %H:%M:%S,08/19/2010 22:25:03
2571,%d_%m_%Y,30_07_2008
2572,%m-%d-%Y,12-17-1985
2573,%d/%m/%Y:%d/%m/%Y,19/07/2012:25/03/2018
2574,%d_%m_%y,05_06_07
2575,%a,sat
2576,%Y.%m.%d %H:%M:%S,1983.01.23 06:24:37
2577,%Y.%m,2017.05
2578,%d-%m-%Y %H:%M:%S,01-09-2017 10:01:48
2579,%d/%m/%Y:%d/%m/%Y,25/01/2015:01/08/2018
2580,percent,0.95
2581,"%A, %B %d, %y","Sunday, March 12, 1989"
2582,country_GID,MUS
2583,%Y,1994
2584,%d %B %Y,16 November 2020
2585,city,Morganmouth
2586,country_code,MH
2587,latlong,"-85.23350, 86.8216"
